Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 09:12,MGNA,216.0,228.0,TAKE_PROFIT 🎯,1026194.4,5.13,,
2026-09-19 23:10,2026-09-21 09:17,MPIX,200.0,220.0,TAKE_PROFIT 🎯,1911170.0,9.56,,
2026-09-19 23:10,2026-09-21 09:22,MOLI,380.0,368.0,CUT_LOSS ✂️,-708225.0,-3.54,,
2026-09-19 23:10,2026-09-21 15:33,BNGA,1765.0,1755.0,AUTO_SQUARE_OFF 🧹,-192495.5,-0.96,,
2026-09-19 23:10,2026-09-21 15:33,MTEL,500.0,494.0,AUTO_SQUARE_OFF 🧹,-318601.5,-1.59,,
2026-09-21 15:23,2026-09-22 09:02,GDST,131.0,139.0,TAKE_PROFIT 🎯,1136294.4,5.68,JADWAL,0.0
2026-09-21 15:23,2026-09-22 09:17,TRIN,402.0,382.0,CUT_LOSS ✂️,-1069276.8,-5.35,JADWAL,0.0
2026-09-21 15:33,2026-09-22 09:52,AISA,130.0,126.0,CUT_LOSS ✂️,-692736.0,-3.46,JADWAL,0.0
2026-09-21 15:23,2026-09-22 10:02,IRSX,452.0,438.0,CUT_LOSS ✂️,-695589.3,-3.48,JADWAL,0.0
2026-09-21 15:23,2026-09-22 14:32,NEST,780.0,755.0,CUT_LOSS ✂️,-2805.75,-3.59,JADWAL,0.0
2026-09-21 15:23,2026-09-22 15:33,SIDO,358.0,352.0,AUTO_SQUARE_OFF 🧹,-741.7,-2.07,JADWAL,
2026-09-22 15:23,2026-09-23 09:02,AYLS,200.0,185.0,CUT_LOSS ✂️,-1573097.5,-7.87,JADWAL,14.942528735632186
2026-09-22 15:23,2026-09-23 09:02,NASI,292.0,292.0,SUSPEND_FORCE_EXIT ⚠️,-79774.4,-0.4,JADWAL,24.786324786324787
2026-09-22 15:33,2026-09-23 09:02,DFAM,98.0,110.0,TAKE_PROFIT 🎯,86835.0,11.8,JADWAL,6.521739130434782
2026-09-22 15:23,2026-09-23 09:12,AGAR,2870.0,3030.0,TAKE_PROFIT 🎯,1022028.0,5.15,JADWAL,24.782608695652176
2026-09-22 15:23,2026-09-23 09:17,DSFI,107.0,100.0,CUT_LOSS ✂️,-1382799.3,-6.92,JADWAL,11.458333333333332
2026-09-22 15:23,2026-09-23 15:37,BSSR,5400.0,5475.0,AUTO_SQUARE_OFF 🧹,191565.0,0.98,JADWAL,9.75609756097561
