Tanggal_Beli,Ticker,Harga_Beli,Lot,Total_Modal,Target_TP,Target_CL,Mode_Beli,Change_Beli
2026-09-24 06:16,DEWI,226.0,883,19985733.700000003,237,219,MANUAL,22.162162162162165
2026-09-24 06:16,SMLE,266.0,750,19979925.0,279,258,MANUAL,15.65217391304348
2026-09-24 06:16,MPXL,220.0,907,19983931.0,231,213,MANUAL,34.14634146341464
2026-09-24 06:16,EMMI,420.0,475,19979925.0,441,407,MANUAL,15.384615384615383
2026-09-24 06:16,MDKA,3080.0,64,19741568.0,3234,2988,MANUAL,8.8339222614841
2026-09-24 15:33,BIPP,87.0,7,60991.350000000006,91,84,JADWAL,33.84615384615385
2026-09-24 15:33,ASLI,498.0,1,49874.7,523,483,JADWAL,20.28985507246377
2026-09-24 15:33,SDMU,108.0,6,64897.2,113,105,JADWAL,21.34831460674157
2026-09-24 15:33,UNSP,320.0,2,64096.0,336,310,JADWAL,25.0
2026-09-24 15:33,MEJA,130.0,5,65097.5,136,126,JADWAL,9.243697478991598
