Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%,Mode_Beli,Change_Beli
2026-09-19 23:10,2026-09-21 09:02,ASMI,16.0,16.0,CUT_LOSS ✂️,-79878.4,-0.4,,
2026-09-19 23:10,2026-09-21 11:07,URBN,230.0,242.0,TAKE_PROFIT 🎯,959140.0,4.8,,
2026-09-19 23:10,2026-09-21 15:33,MAPI,1500.0,1495.0,AUTO_SQUARE_OFF 🧹,-146133.75,-0.73,,
2026-09-19 23:10,2026-09-21 15:33,CRAB,226.0,226.0,AUTO_SQUARE_OFF 🧹,-79823.2,-0.4,,
2026-09-19 23:10,2026-09-21 15:33,BIKE,1130.0,1130.0,AUTO_SQUARE_OFF 🧹,-79552.0,-0.4,,
2026-09-21 15:33,2026-09-22 09:02,BIKE,1130.0,1130.0,SUSPEND_FORCE_EXIT ⚠️,-79100.0,-0.4,JADWAL,0.0
2026-09-21 15:33,2026-09-22 09:27,KING,410.0,432.0,TAKE_PROFIT 🎯,988853.5,4.95,JADWAL,0.0
2026-09-21 15:23,2026-09-22 10:07,TMAS,149.0,145.0,CUT_LOSS ✂️,-614524.0,-3.07,JADWAL,0.0
2026-09-21 15:23,2026-09-22 10:07,HADE,26.0,27.0,TAKE_PROFIT 🎯,686208.0,3.43,JADWAL,0.0
2026-09-21 15:33,2026-09-22 10:07,URBN,252.0,268.0,TAKE_PROFIT 🎯,1184198.4,5.92,JADWAL,0.0
2026-09-21 15:23,2026-09-22 11:07,TGUK,111.0,118.0,TAKE_PROFIT 🎯,7192.35,5.88,JADWAL,0.0
