Tanggal_Beli,Tanggal_Jual,Ticker,Harga_Beli,Harga_Jual,Status,Total_Return_Rp,Return_%
2026-09-04 16:37,2026-09-07 10:18,MDLA,210.0,220.0,TAKE_PROFIT 🎯,867825.0,4.34
2026-09-04 16:37,2026-09-07 15:33,MAHA,150.0,150.0,AUTO_SQUARE_OFF 🧹,-79860.0,-0.4
2026-09-04 16:37,2026-09-07 15:33,SMDM,565.0,555.0,AUTO_SQUARE_OFF 🧹,-431895.5,-2.16
2026-09-04 16:37,2026-09-07 15:33,AMOR,362.0,372.0,AUTO_SQUARE_OFF 🧹,469837.7,2.35
2026-09-04 16:37,2026-09-07 15:33,SBMA,110.0,111.0,AUTO_SQUARE_OFF 🧹,101186.25,0.51
2026-09-07 14:36,2026-09-08 12:08,MNCN,210.0,202.0,CUT_LOSS ✂️,-837900.0,-4.19
2026-09-07 14:36,2026-09-08 15:33,LPPF,1655.0,1660.0,AUTO_SQUARE_OFF 🧹,-19590.0,-0.1
2026-09-07 14:36,2026-09-08 15:33,SNLK,238.0,240.0,AUTO_SQUARE_OFF 🧹,87507.7,0.44
2026-09-07 14:36,2026-09-08 15:33,JKON,89.0,88.0,AUTO_SQUARE_OFF 🧹,-303590.05,-1.52
2026-09-07 14:36,2026-09-08 15:33,SMSM,1740.0,1765.0,AUTO_SQUARE_OFF 🧹,204943.5,1.03
