Tanggal_Beli,Ticker,Harga_Beli,Lot,Total_Modal,Target_TP,Target_CL,Mode_Beli,Change_Beli
2026-09-24 06:16,SMLE,266.0,750,19979925.0,279,258,MANUAL,15.65217391304348
2026-09-24 06:16,LAPD,85.0,2349,19996449.75,89,82,MANUAL,11.842105263157894
2026-09-24 06:16,ANTM,3280.0,60,19709520.0,3444,3182,MANUAL,3.4700315457413247
2026-09-24 06:16,GULA,830.0,240,19949880.0,872,805,MANUAL,0.6060606060606061
2026-09-24 06:16,ASPI,750.0,266,19979925.0,788,728,MANUAL,10.294117647058822
2026-09-24 15:33,ASLI,498.0,1,49874.7,506,468,JADWAL,20.28985507246377
2026-09-24 15:33,BIPP,87.0,8,69704.40000000001,85,79,JADWAL,33.84615384615385
2026-09-24 15:33,MEJA,130.0,5,65097.5,136,126,JADWAL,9.243697478991598
2026-09-24 15:33,PMUI,115.0,6,69103.5,118,109,JADWAL,10.576923076923077
2026-09-24 15:33,SAGE,34.0,22,74912.20000000001,36,33,JADWAL,9.67741935483871
