Ticker,Status Akuisisi
BUMI,TIDAK ADA
BNBR,TIDAK ADA
BRMS,TIDAK ADA
DEWA,TIDAK ADA
PADI,TIDAK ADA
TPIA,TIDAK ADA
BIPI,TIDAK ADA
DSSA,TIDAK ADA
CUAN,TIDAK ADA
BRPT,TIDAK ADA
BBRI,TIDAK ADA
BUVA,TIDAK ADA
BULL,TIDAK ADA
COCO,TIDAK ADA
YELO,TIDAK ADA
EPAC,TIDAK ADA
MBMA,TIDAK ADA
BBRM,TIDAK ADA
BMRI,TIDAK ADA
LPKR,TIDAK ADA
BKSL,TIDAK ADA
KIOS,TIDAK ADA
BBCA,TIDAK ADA
KOTA,TIDAK ADA
TLKM,TIDAK ADA
CSMI,TIDAK ADA
MINA,TIDAK ADA
ELTY,TIDAK ADA
INET,TIDAK ADA
BUKA,TIDAK ADA
MAPI,TIDAK ADA
ENRG,TIDAK ADA
TOOL,TIDAK ADA
RGAS,TIDAK ADA
PSAB,TIDAK ADA
ESSA,TIDAK ADA
PEGE,TIDAK ADA
DEWI,TIDAK ADA
HOKI,TIDAK ADA
IRSX,TIDAK ADA
RAJA,TIDAK ADA
ANTM,TIDAK ADA
UVCR,TIDAK ADA
MDIA,TIDAK ADA
BBNI,TIDAK ADA
VKTR,TIDAK ADA
RBMS,TIDAK ADA
SGER,TIDAK ADA
CDIA,TIDAK ADA
OMED,TIDAK ADA
BEEF,TIDAK ADA
MBTO,TIDAK ADA
AMMN,TIDAK ADA
BBKP,TIDAK ADA
BMTR,TIDAK ADA
KOKA,TIDAK ADA
ERAA,TIDAK ADA
BTEK,TIDAK ADA
MTEL,TIDAK ADA
SMIL,TIDAK ADA
MSKY,TIDAK ADA
AYLS,TIDAK ADA
DMAS,TIDAK ADA
MARK,TIDAK ADA
ESIP,TIDAK ADA
KPIG,TIDAK ADA
PNLF,TIDAK ADA
EMTK,TIDAK ADA
ENZO,TIDAK ADA
GOTO,TIDAK ADA
PTRO,TIDAK ADA
KIJA,TIDAK ADA
BREN,TIDAK ADA
SCMA,TIDAK ADA
PACK,TIDAK ADA
LEAD,TIDAK ADA
NCKL,TIDAK ADA
AYAM,TIDAK ADA
ASPR,TIDAK ADA
WMPP,TIDAK ADA
TOWR,TIDAK ADA
MDKA,TIDAK ADA
ASII,TIDAK ADA
LCKM,TIDAK ADA
KLBF,TIDAK ADA
JGLE,TIDAK ADA
PPRE,TIDAK ADA
GIAA,TIDAK ADA
AMRT,TIDAK ADA
FUJI,TIDAK ADA
SUPA,TIDAK ADA
PWON,TIDAK ADA
BWPT,TIDAK ADA
PGAS,TIDAK ADA
MEDC,TIDAK ADA
KOCI,TIDAK ADA
HOPE,TIDAK ADA
BAIK,TIDAK ADA
WIRG,TIDAK ADA
CYBR,TIDAK ADA
MMIX,TIDAK ADA
SRSN,TIDAK ADA
BSDE,TIDAK ADA
MSIN,TIDAK ADA
RATU,TIDAK ADA
RSCH,TIDAK ADA
HUMI,TIDAK ADA
CMNT,TIDAK ADA
SMLE,TIDAK ADA
NICL,TIDAK ADA
BBTN,TIDAK ADA
VTNY,TIDAK ADA
SLIS,TIDAK ADA
PYFA,TIDAK ADA
ACES,TIDAK ADA
IBOS,TIDAK ADA
BAPA,TIDAK ADA
INDO,TIDAK ADA
NTBK,TIDAK ADA
TINS,TIDAK ADA
GPRA,TIDAK ADA
PMUI,TIDAK ADA
DGWG,TIDAK ADA
FOLK,TIDAK ADA
BCIP,TIDAK ADA
ARCI,TIDAK ADA
DEFI,TIDAK ADA
PADA,TIDAK ADA
INCO,TIDAK ADA
HMSP,TIDAK ADA
FUTR,TIDAK ADA
GULA,TIDAK ADA
IATA,TIDAK ADA
KRYA,TIDAK ADA
JPFA,TIDAK ADA
CBRE,TIDAK ADA
DOOH,TIDAK ADA
DILD,TIDAK ADA
KJEN,TIDAK ADA
MSJA,TIDAK ADA
UNIQ,TIDAK ADA
MPPA,TIDAK ADA
WBSA,TIDAK ADA
WIFI,TIDAK ADA
GTSI,TIDAK ADA
OASA,TIDAK ADA
MEDS,TIDAK ADA
MIDI,TIDAK ADA
ADRO,TIDAK ADA
UNVR,TIDAK ADA
KETR,TIDAK ADA
HATM,TIDAK ADA
UNTD,TIDAK ADA
ELSA,TIDAK ADA
NPGF,TIDAK ADA
BIPP,TIDAK ADA
ICON,TIDAK ADA
INDY,TIDAK ADA
SEMA,TIDAK ADA
SSMS,TIDAK ADA
SDMU,TIDAK ADA
PIPA,TIDAK ADA
EMDE,TIDAK ADA
BDKR,TIDAK ADA
DFAM,TIDAK ADA
MGNA,TIDAK ADA
GSMF,TIDAK ADA
PGEO,TIDAK ADA
OILS,TIDAK ADA
OPMS,TIDAK ADA
RMKE,TIDAK ADA
SNLK,TIDAK ADA
PSKT,TIDAK ADA
KAQI,TIDAK ADA
DKHH,TIDAK ADA
PTBA,TIDAK ADA
SIDO,TIDAK ADA
SMGR,TIDAK ADA
ADMR,TIDAK ADA
CITY,TIDAK ADA
HAJJ,TIDAK ADA
LAJU,TIDAK ADA
DPUM,TIDAK ADA
CPIN,TIDAK ADA
IMPC,TIDAK ADA
GMFI,TIDAK ADA
CTRA,TIDAK ADA
EMAS,TIDAK ADA
ANDI,TIDAK ADA
YOII,TIDAK ADA
SMRA,TIDAK ADA
APLN,TIDAK ADA
BRIS,TIDAK ADA
ISAT,TIDAK ADA
SMDR,TIDAK ADA
MLPL,TIDAK ADA
SQMI,TIDAK ADA
TAXI,TIDAK ADA
TAPG,TIDAK ADA
BSML,TIDAK ADA
NZIA,TIDAK ADA
PRIM,TIDAK ADA
KEEN,TIDAK ADA
MIKA,TIDAK ADA
MPOW,TIDAK ADA
MNCN,TIDAK ADA
BSBK,TIDAK ADA
BABY,TIDAK ADA
TOSK,TIDAK ADA
HRTA,TIDAK ADA
COIN,TIDAK ADA
MIRA,TIDAK ADA
MSIE,TIDAK ADA
BELL,TIDAK ADA
WMUU,TIDAK ADA
WINR,TIDAK ADA
BHIT,TIDAK ADA
KREN,TIDAK ADA
ISAP,TIDAK ADA
FILM,TIDAK ADA
SSIA,TIDAK ADA
BJTM,TIDAK ADA
LAND,TIDAK ADA
AADI,TIDAK ADA
AKRA,TIDAK ADA
VERN,TIDAK ADA
BBYB,TIDAK ADA
BFIN,TIDAK ADA
NAYZ,TIDAK ADA
ASHA,TIDAK ADA
GPSO,TIDAK ADA
DSNG,TIDAK ADA
KUAS,TIDAK ADA
GRPM,TIDAK ADA
BEER,TIDAK ADA
SRTG,TIDAK ADA
GZCO,TIDAK ADA
IOTF,TIDAK ADA
CNMA,TIDAK ADA
MCOR,TIDAK ADA
RICY,TIDAK ADA
APEX,TIDAK ADA
MEJA,TIDAK ADA
WIDI,TIDAK ADA
FIRE,TIDAK ADA
AVIA,TIDAK ADA
ACRO,TIDAK ADA
IKAI,TIDAK ADA
HRUM,TIDAK ADA
AGRO,TIDAK ADA
KBAG,TIDAK ADA
BEKS,TIDAK ADA
BJBR,TIDAK ADA
HEAL,TIDAK ADA
LSIP,TIDAK ADA
SIMP,TIDAK ADA
NANO,TIDAK ADA
PART,TIDAK ADA
IDEA,TIDAK ADA
PSDN,TIDAK ADA
KBLV,TIDAK ADA
PTMP,TIDAK ADA
PBRX,TIDAK ADA
INDF,TIDAK ADA
MYOR,TIDAK ADA
STRK,TIDAK ADA
ASRI,TIDAK ADA
TOBA,TIDAK ADA
PPRO,TIDAK ADA
PANI,TIDAK ADA
HOMI,TIDAK ADA
LABA,TIDAK ADA
MGRO,TIDAK ADA
BLTA,TIDAK ADA
ICBP,TIDAK ADA
CTTH,TIDAK ADA
FLMC,TIDAK ADA
ADHI,TIDAK ADA
BAPI,TIDAK ADA
JSMR,TIDAK ADA
KOPI,TIDAK ADA
SMGA,TIDAK ADA
CGAS,TIDAK ADA
PLAN,TIDAK ADA
BMBL,TIDAK ADA
LAPD,TIDAK ADA
FORE,TIDAK ADA
SOCI,TIDAK ADA
BCIC,TIDAK ADA
PURA,TIDAK ADA
TRIN,TIDAK ADA
CLEO,TIDAK ADA
AREA,TIDAK ADA
DKFT,TIDAK ADA
SAME,TIDAK ADA
NSSS,TIDAK ADA
IPTV,TIDAK ADA
BATR,TIDAK ADA
ASSA,TIDAK ADA
ERAL,TIDAK ADA
IKAN,TIDAK ADA
